product_id,product_name,category,brand,price,stock_quantity
PROD_2000,Product_0,Fashion,BrandC,3199.76,264
PROD_2001,Product_1,Fashion,BrandB,4793.67,475
PROD_2002,Product_2,Groceries,BrandD,2940.3,80
PROD_2003,Product_3,Electronics,BrandD,4090.67,189
PROD_2004,Product_4,Beauty,BrandA,169.53,109
PROD_2005,Product_5,Electronics,BrandA,3336.62,395
PROD_2006,Product_6,Groceries,BrandE,839.84,210
PROD_2007,Product_7,Home,BrandE,3522.92,245
PROD_2008,Product_8,Electronics,BrandD,2893.51,359
PROD_2009,Product_9,Groceries,BrandB,1186.12,165
PROD_2010,Product_10,Groceries,BrandC,2966.64,199
PROD_2011,Product_11,Beauty,BrandA,3413.19,166
PROD_2012,Product_12,Home,BrandE,4520.47,264
PROD_2013,Product_13,Electronics,BrandA,4455.35,220
PROD_2014,Product_14,Groceries,branda,4688.47,387
PROD_2015,Product_15,Home,BrandB,4221.91,485
PROD_2016,Product_16,Beauty,BrandD,2750.08,370
PROD_2017,Product_17,Groceries,BrandC,4260.83,321
PROD_2018,Product_18,Beauty,BrandB,3638.9,34
PROD_2019,Product_19,Home,BrandC,3715.82,358
PROD_2020,Product_20,Beauty,BrandC,857.19,480
PROD_2021,Product_21,Electronics,BrandB,980.2,211
PROD_2022,Product_22,Beauty,BrandC,983.41,50
PROD_2023,Product_23,Fashion,BrandA,1124.93,142
PROD_2024,Product_24,Fashion,BrandE,2148.34,455
PROD_2025,Product_25, electronics ,BrandB,1645.48,256
PROD_2026,Product_26,Fashion,branda,340.57,126
PROD_2027,Product_27,Electronics,BrandD,3647.87,490
PROD_2028,Product_28,Groceries,BrandE,2075.86,249
PROD_2029,Product_29,Fashion,BrandD,481.97,455
PROD_2030,Product_30, electronics ,BrandE,3966.4,128
PROD_2031,Product_31,Groceries,BrandA,195.79,133
PROD_2032,Product_32,Fashion,BrandD,2843.31,370
PROD_2033,Product_33,Groceries,BrandD,3810.19,142
PROD_2034,Product_34,Fashion,BrandA,1925.68,77
PROD_2035,Product_35,Groceries,BrandD,2912.95,430
PROD_2036,Product_36,Groceries,BrandD,348.37,135
PROD_2037,Product_37,Home,BrandA,1261.54,333
PROD_2038,Product_38,Beauty,BrandA,,226
